name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Mohammad Nabi,Afghanistan,Right hand Bat,Allrounder,Right arm Offbreak,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316558.png"
Matthew Short,Australia,Right hand Bat,Top order Batter,Right arm Offbreak,,
Jos Buttler(c) ,England,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png"
Barry McCarthy,Ireland,Right hand Bat,Bowler,Right arm Fast medium,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319870.png"
Kepler Lukies,Philippines,Left hand Bat,,Slow Left arm Orthodox,,
Shantanu Vashisht,Romania,Right hand Bat,,Right arm Medium fast,,
Mohammed Siraj,India,Right hand Bat,Bowler,Right arm Fast,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322611.png"
Ben White,Ireland,Right hand Bat,Bowler,Legbreak,"Ben White was handed his T20I debut during Ireland's 2021 home summer and was picked in their squad for the T20 World Cup later that year. A tall legspinner who bowls quickly and fires the ball in flat, White was viewed as a potential long-term option to fill Ireland's wristspin void.ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339163.png"
Amit Halbhavi ,Luxembourg,Right hand Bat,,,,
Gershom Ntambalika,Malawi,Right hand Bat,,Right arm Medium,,
Gift Kansonkho,Malawi,Right hand Bat,,Right arm Medium,,
Mohamed Issa,Tanzania,Right hand Bat,,Right arm Medium,,
Mark Pavlovic,Serbia,Right hand Bat,,Right arm Medium fast,,
